event_id,transaction_description,transaction_type,iban,counterparty_name,counterparty_iban,amount,currency,transaction_subtype,monetary_account_id,updated_timestamp,place_name,place_address,category,geolocation_latitude,geolocation_longitude,geolocation_altitude,geolocation_radius,user_type,merchant_category_code,tags,opening_periods,number_of_recommendation_total,recommendations_category,categories_friends,url_google_maps,city,country,event_type,inner_id,owner_user_id,.transaction_subtype,number_of_recommendations_total,transaction_subnetype,counterparty_ibank,eventType,counterparty_ibn
720950460,Monthly Subscription Fees for 2022-04-01. Regular payment,SUBSCRIPTION,DE89FISB2475040851,Netflix,FR92FISB3048206970,9.99,USD,BILLING,687324,2022-04-01T09:10:33.456781,,,SUBSCRIPTIONS,45.4627124,9.190312,,,PERSON,,"streaming, entertainment, movies",,,"{'PENDING': 0, 'SKIPPED': 0, 'NOT_RECOMMENDED': 0, 'RECOMMENDED_UNCATEGORIZED': 0, 'RECOMMENDED_FOR_BUSINESS': 0, 'RECOMMENDED_FOR_FAMILY': 0, 'RECOMMENDED_FOR_DATE': 2, 'RECOMMENDED_FOR_MYSELF': 3, 'RECOMMENDED_FOR_FRIENDS': 2}","{'PENDING': [], 'SKIPPED': [], 'NOT_RECOMMENDED': [], 'RECOMMENDED_UNCATEGORIZED': [], 'RECOMMENDED_FOR_BUSINESS': [], 'RECOMMENDED_FOR_FAMILY': [], 'RECOMMENDED_FOR_DATE': [['John Smith', 'PERSON', 1, 'uuid1234']], 'RECOMMENDED_FOR_MYSELF': [['Jane Doe', 'PERSON', 2, 'uuid5678']], 'RECOMMENDED_FOR_FRIENDS': [['Mike Davis', 'PERSON', 1, 'uuid9101']]}",,,,SubscriptionPayment,891234567,207,,,,,,
674932560,"BUNQ: Apple Online Store Amzn.com/bill, US
17.52 USD, 1 USD = 0.76355 GBP",BUNQ,GB76BUNQ4018328015,Apple,,-13.38,GBP,TRANSACTION,4729834,2021-11-16T04:15:06.329821,Apple Online Store,,ELECTRONICS,52.345921,4.827591,,,PERSON,5732,,,,"{'PENDING': 0, 'SKIPPED': 0, 'NOT_RECOMMENDED': 0, 'RECOMMENDED_UNCATEGORIZED': 0, 'RECOMMENDED_FOR_BUSINESS': 0, 'RECOMMENDED_FOR_FAMILY': 0, 'RECOMMENDED_FOR_DATE': 0, 'RECOMMENDED_FOR_MYSELF': 0, 'RECOMMENDED_FOR_FRIENDS': 0}","{'PENDING': [], 'SKIPPED': [], 'NOT_RECOMMENDED': [], 'RECOMMENDED_UNCATEGORIZED': [], 'RECOMMENDED_FOR_BUSINESS': [], 'RECOMMENDED_FOR_FAMILY': [], 'RECOMMENDED_FOR_DATE': [], 'RECOMMENDED_FOR_MYSELF': [], 'RECOMMENDED_FOR_FRIENDS': []}",,,,BunqAction,,558,,,,,,
991,Coffee Break here :D,PAYMENT,FR94AJEFC345678,George Winston,UK76BJHFC826715,5.0,EUR,PAYMENT,367,2021-06-15T13:52:32.754321,Moonlight Cafe,"34 Baker Street, London",FOOD_AND_DRINK,51.514,-0.159,,,PERSON,,"Cafe, Drinks",,56.0,"{'PENDING': 0, 'SKIPPED': 0, 'NOT_RECOMMENDED': 8, 'RECOMMENDED_UNCATEGORIZED': 0, 'RECOMMENDED_FOR_BUSINESS': 20, 'RECOMMENDED_FOR_FAMILY': 15, 'RECOMMENDED_FOR_DATE': 5, 'RECOMMENDED_FOR_MYSELF': 5, 'RECOMMENDED_FOR_FRIENDS': 3}","{'PENDING': [], 'SKIPPED': [], 'NOT_RECOMMENDED': [['Jerry Smith', 'PERSON', 3, '23456'], ['Paul Johnson', 'PERSON', 5, '98765']], 'RECOMMENDED_UNCATEGORIZED': [], 'RECOMMENDED_FOR_BUSINESS': [['Tom Ford', 'PERSON', 6, '34567']], 'RECOMMENDED_FOR_FAMILY': [], 'RECOMMENDED_FOR_DATE': [], 'RECOMMENDED_FOR_MYSELF': [], 'RECOMMENDED_FOR_FRIENDS': []}",https://goo.gl/maps/ew3Ef43,London,UK,Payment,678,282,,,,,,
9375856263,Payment demand from Los Angeles County (Los Angeles County) to B. Johnson (Ben) with note Los Angeles County Tax Cycle 4 of 7 Due date 28 Feb 2024 Payment signifier 74381025 Tax year 2022.,SOFORT,US57BUNQ3027222485,Los Angeles County,US24WELLS0311299565,-249.37,USD,BILLING,249,2024-02-28T09:32:23.784591,Los Angeles County,,RENT_AND_UTILITIES,38.1074202,-122.5697031,,,COMPANY,,,,,"{'PENDING': 0, 'SKIPPED': 0, 'NOT_RECOMMENDED': 0, 'RECOMMENDED_UNCATEGORIZED': 0, 'RECOMMENDED_FOR_BUSINESS': 0, 'RECOMMENDED_FOR_FAMILY': 0, 'RECOMMENDED_FOR_DATE': 0, 'RECOMMENDED_FOR_MYSELF': 0, 'RECOMMENDED_FOR_FRIENDS': 0}","{'PENDING': [], 'SKIPPED': [], 'NOT_RECOMMENDED': [], 'RECOMMENDED_UNCATEGORIZED': [], 'RECOMMENDED_FOR_BUSINESS': [], 'RECOMMENDED_FOR_FAMILY': [], 'RECOMMENDED_FOR_DATE': [], 'RECOMMENDED_FOR_MYSELF': [], 'RECOMMENDED_FOR_FRIENDS': []}",,,,WhitelistResult,,771,,,,,,
925761935,Book Purchase K8H3L8,SWIFT,UK09BUNQ2078502436,Amazon Web Services,DE9799000000021478,75.2,GBP,PAYMENT,4123567,2022-10-10T12:34:56.456829,Amazon Online Store,"410 Terry Ave N, Seattle, WA 98109, USA",SHOPPING,47.622,-122.3366,10.0,1000.0,COMPANY,5311,"online, books, store",,10.0,"{'PENDING': 1, 'SKIPPED': 0, 'NOT_RECOMMENDED': 1, 'RECOMMENDED_UNCATEGORIZED': 2, 'RECOMMENDED_FOR_BUSINESS': 3, 'RECOMMENDED_FOR_FAMILY': 1, 'RECOMMENDED_FOR_DATE': 0, 'RECOMMENDED_FOR_MYSELF': 1, 'RECOMMENDED_FOR_FRIENDS': 1}","{'PENDING': [['John Doe', 'PERSON', 1, '16257']], 'SKIPPED': [], 'NOT_RECOMMENDED': [['Jane Doe', 'PERSON', 1, '25413']], 'RECOMMENDED_UNCATEGORIZED': [['John Smith', 'PERSON', 1, '31658'], ['Emma Johnson', 'PERSON', 1, '48596']], 'RECOMMENDED_FOR_BUSINESS': [['Alan Taylor', 'COMPANY', 1, '58742'], ['Laura Thomson', 'COMPANY', 1, '69852'], ['Roberta Evans', 'PERSON', 1, '75236']], 'RECOMMENDED_FOR_FAMILY': [['Paul Wilson', 'PERSON', 1, '89647']], 'RECOMMENDED_FOR_DATE': [], 'RECOMMENDED_FOR_MYSELF': [['Andrew Clarke', 'PERSON', 1, '102958']], 'RECOMMENDED_FOR_FRIENDS': [['Christian Lewis', 'PERSON', 1, '112563']]}",https://goo.gl/maps/LcGZiZaAeaN2,Seattle,USA,Purchase,956215256,102,,,,,,
789836443,"WISE: eBay Inc Amount.com/bill, US
19.99 USD, 1 USD = 0.89267 EUR",WISE,DE47BUNQ2115746001,eBay,,-17.84,EUR,TRANSFER PAYMENT,4761102,2022-04-03T15:48:24.854291,eBay,,ELECTRONICS,50.8483097,5.6848289,,,PERSON,,"online, internet, shopping",,,"{'PENDING': 0, 'SKIPPED': 0, 'NOT_RECOMMENDED': 0, 'RECOMMENDED_UNCATEGORIZED': 0, 'RECOMMENDED_FOR_BUSINESS': 0, 'RECOMMENDED_FOR_FAMILY': 0, 'RECOMMENDED_FOR_DATE': 0, 'RECOMMENDED_FOR_MYSELF': 0, 'RECOMMENDED_FOR_FRIENDS': 0}","{'PENDING': [], 'SKIPPED': [], 'NOT_RECOMMENDED': [], 'RECOMMENDED_UNCATEGORIZED': [], 'RECOMMENDED_FOR_BUSINESS': [], 'RECOMMENDED_FOR_FAMILY': [], 'RECOMMENDED_FOR_DATE': [], 'RECOMMENDED_FOR_MYSELF': [], 'RECOMMENDED_FOR_FRIENDS': []}",,,,WiseTransferAction,,569,,,,,,
893405926,"SWIFT: eBay DP*PA Ebaysg.com, SG
60.75 USD, 1 USD = 0.84221 EUR",SWIFT,DE12BUNQ9012048609,eBay,,-51.19,EUR,PAYMENT,5629784,2021-08-02T14:27:28.440702,eBay,,ELECTRONICS,53.207115,6.5923053,,,PERSON,5945,,,,"{'PENDING': 0, 'SKIPPED': 0, 'NOT_RECOMMENDED': 0, 'RECOMMENDED_UNCATEGORIZED': 0, 'RECOMMENDED_FOR_BUSINESS': 0, 'RECOMMENDED_FOR_FAMILY': 0, 'RECOMMENDED_FOR_DATE': 0, 'RECOMMENDED_FOR_MYSELF': 0, 'RECOMMENDED_FOR_FRIENDS': 0}","{'PENDING': [], 'SKIPPED': [], 'NOT_RECOMMENDED': [], 'RECOMMENDED_UNCATEGORIZED': [], 'RECOMMENDED_FOR_BUSINESS': [], 'RECOMMENDED_FOR_FAMILY': [], 'RECOMMENDED_FOR_DATE': [], 'RECOMMENDED_FOR_MYSELF': [], 'RECOMMENDED_FOR_FRIENDS': []}",,,,SwiftAction,,569,,,,,,
283459728,"BUNQ: Peony Bakers Chicago, US
 in Howard St, 225, Chicago, US, 60621.",BUNQ,DE64PAWL06740415098903,Peony Bakers,,-105.67,USD,PURCHASE,5680932,2022-10-08T10:35:18.654901,Peony Bakers,"Howard St, 225, Chicago, US, 60621.",GROCERIES,41.804831,-87.589755,0,0,PERSON,5811,"bakery, cafe","{'monday': [{'open': 600, 'close': 1800}], 'tuesday': [{'open': 600, 'close': 1800}], 'wednesday': [{'open': 600, 'close': 1800}], 'thursday': [{'open': 700, 'close': 1900}], 'friday': [{'open': 700, 'close': 1900}], 'saturday': [{'open': 700, 'close': 1900}], 'sunday': [{'open': 700, 'close': 1900}]}",25.0,"{'PENDING': 0, 'SKIPPED': 0, 'NOT_RECOMMENDED': 1, 'RECOMMENDED_UNCATEGORIZED': 0, 'RECOMMENDED_FOR_BUSINESS': 0, 'RECOMMENDED_FOR_FAMILY': 5, 'RECOMMENDED_FOR_DATE': 0, 'RECOMMENDED_FOR_MYSELF': 2, 'RECOMMENDED_FOR_FRIENDS': 0}","{'PENDING': [], 'SKIPPED': [], 'NOT_RECOMMENDED': [['Michael', 'PERSON', 1, '1423-669']], 'RECOMMENDED_UNCATEGORIZED': [], 'RECOMMENDED_FOR_BUSINESS': [], 'RECOMMENDED_FOR_FAMILY': [['Stephen', 'PERSON', 3, '8745-685'], ['Linda', 'PERSON', 2, '8364-433']], 'RECOMMENDED_FOR_DATE': [], 'RECOMMENDED_FOR_MYSELF': [['Sarah', 'PERSON', 2, '3628-773']], 'RECOMMENDED_FOR_FRIENDS': []}",https://maps.google.com/?cid=305381565387637956,Chicago,US,BunqAction,,334,,,,,,
702734728,Payment request from BLUEENERGY (BLUEENERGY) to D. Smith (Daniel) with description Your monthly bill with bill number BE0105675843 for March 2022 for zip code 4055AA.,PAYMENT,GB69BUKQ3056177826,BLUEENERGY,GB56INGB0006379471,-173.0,GBP,BILLING,257,2022-03-09T17:16:29.876254,Blueenergy,,UTILITIES,52.092876,4.2733740000000004,,,PERSON,,,,,"{'PENDING': 0, 'SKIPPED': 0, 'NOT_RECOMMENDED': 0, 'RECOMMENDED_UNCATEGORIZED': 0, 'RECOMMENDED_FOR_BUSINESS': 0, 'RECOMMENDED_FOR_FAMILY': 0, 'RECOMMENDED_FOR_DATE': 0, 'RECOMMENDED_FOR_MYSELF': 0, 'RECOMMENDED_FOR_FRIENDS': 0}","{'PENDING': [], 'SKIPPED': [], 'NOT_RECOMMENDED': [], 'RECOMMENDED_UNCATEGORIZED': [], 'RECOMMENDED_FOR_BUSINESS': [], 'RECOMMENDED_FOR_FAMILY': [], 'RECOMMENDED_FOR_DATE': [], 'RECOMMENDED_FOR_MYSELF': [], 'RECOMMENDED_FOR_FRIENDS': []}",,,,WhitelistResult,,334,,,,,,
441906103,Salary November 2021,WISE,DE43BUNQ2045222465,FINTECH CORP,UK53BARC0513003356,5890.42,GBP,TRANSFER PAYMENT,201,2021-11-28T23:10:35.430200,,,PAYROLL,33.847973,-84.363519,,,COMPANY,,,,,,"{'PENDING': [], 'SKIPPED': [], 'NOT_RECOMMENDED': [], 'RECOMMENDED_UNCATEGORIZED': [], 'RECOMMENDED_FOR_BUSINESS': [], 'RECOMMENDED_FOR_FAMILY': [], 'RECOMMENDED_FOR_DATE': [], 'RECOMMENDED_FOR_MYSELF': [], 'RECOMMENDED_FOR_FRIENDS': []}",,,,Payment,491860618,282,,,,,,
993490675,AMAZON EU SARL,WISE,GB82BUNQ2034207520,Amazon EU S.a.r.l.,FR7630004000031234567890,74.43,GBP,TRANSACTION,592,2022-03-08T10:20:03.679021,,,ELECTRONICS,51.515418,-0.141099,,,COMPANY,,,,,"{'PENDING': 0, 'SKIPPED': 0, 'NOT_RECOMMENDED': 0, 'RECOMMENDED_UNCATEGORIZED': 0, 'RECOMMENDED_FOR_BUSINESS': 0, 'RECOMMENDED_FOR_FAMILY': 0, 'RECOMMENDED_FOR_DATE': 0, 'RECOMMENDED_FOR_MYSELF': 0, 'RECOMMENDED_FOR_FRIENDS': 0}","{'PENDING': [], 'SKIPPED': [], 'NOT_RECOMMENDED': [], 'RECOMMENDED_UNCATEGORIZED': [], 'RECOMMENDED_FOR_BUSINESS': [], 'RECOMMENDED_FOR_FAMILY': [], 'RECOMMENDED_FOR_DATE': [], 'RECOMMENDED_FOR_MYSELF': [], 'RECOMMENDED_FOR_FRIENDS': []}",,,,Payment,780290715,102,,,,,,
