event_id,transaction_description,transaction_type,iban,counterparty_name,counterparty_iban,amount,currency,transaction_subtype,monetary_account_id,updated_timestamp,place_name,place_address,category,geolocation_latitude,geolocation_longitude,geolocation_altitude,geolocation_radius,user_type,merchant_category_code,tags,opening_periods,number_of_recommendation_total,recommendations_category,categories_friends,url_google_maps,city,country,event_type,inner_id,owner_user_id,.transaction_subtype,number_of_recommendations_total,transaction_subnetype,counterparty_ibank,eventType,counterparty_ibn
720950460,Monthly Subscription Fees for 2022-04-01. Regular payment,SUBSCRIPTION,DE89FISB2475040851,Netflix,FR92FISB3048206970,9.99,USD,BILLING,687324,2022-04-01T09:10:33.456781,,,SUBSCRIPTIONS,45.4627124,9.190312,,,PERSON,,"streaming, entertainment, movies",,,"{'PENDING': 0, 'SKIPPED': 0, 'NOT_RECOMMENDED': 0, 'RECOMMENDED_UNCATEGORIZED': 0, 'RECOMMENDED_FOR_BUSINESS': 0, 'RECOMMENDED_FOR_FAMILY': 0, 'RECOMMENDED_FOR_DATE': 2, 'RECOMMENDED_FOR_MYSELF': 3, 'RECOMMENDED_FOR_FRIENDS': 2}","{'PENDING': [], 'SKIPPED': [], 'NOT_RECOMMENDED': [], 'RECOMMENDED_UNCATEGORIZED': [], 'RECOMMENDED_FOR_BUSINESS': [], 'RECOMMENDED_FOR_FAMILY': [], 'RECOMMENDED_FOR_DATE': [['John Smith', 'PERSON', 1, 'uuid1234']], 'RECOMMENDED_FOR_MYSELF': [['Jane Doe', 'PERSON', 2, 'uuid5678']], 'RECOMMENDED_FOR_FRIENDS': [['Mike Davis', 'PERSON', 1, 'uuid9101']]}",,,,SubscriptionPayment,891234567,207,,,,,,
674932560,"BUNQ: Apple Online Store Amzn.com/bill, US
17.52 USD, 1 USD = 0.76355 GBP",BUNQ,GB76BUNQ4018328015,Apple,,-13.38,GBP,TRANSACTION,4729834,2021-11-16T04:15:06.329821,Apple Online Store,,ELECTRONICS,52.345921,4.827591,,,PERSON,5732,,,,"{'PENDING': 0, 'SKIPPED': 0, 'NOT_RECOMMENDED': 0, 'RECOMMENDED_UNCATEGORIZED': 0, 'RECOMMENDED_FOR_BUSINESS': 0, 'RECOMMENDED_FOR_FAMILY': 0, 'RECOMMENDED_FOR_DATE': 0, 'RECOMMENDED_FOR_MYSELF': 0, 'RECOMMENDED_FOR_FRIENDS': 0}","{'PENDING': [], 'SKIPPED': [], 'NOT_RECOMMENDED': [], 'RECOMMENDED_UNCATEGORIZED': [], 'RECOMMENDED_FOR_BUSINESS': [], 'RECOMMENDED_FOR_FAMILY': [], 'RECOMMENDED_FOR_DATE': [], 'RECOMMENDED_FOR_MYSELF': [], 'RECOMMENDED_FOR_FRIENDS': []}",,,,BunqAction,,558,,,,,,
991,Coffee Break here :D,PAYMENT,FR94AJEFC345678,George Winston,UK76BJHFC826715,5.0,EUR,PAYMENT,367,2021-06-15T13:52:32.754321,Moonlight Cafe,"34 Baker Street, London",FOOD_AND_DRINK,51.514,-0.159,,,PERSON,,"Cafe, Drinks",,56.0,"{'PENDING': 0, 'SKIPPED': 0, 'NOT_RECOMMENDED': 8, 'RECOMMENDED_UNCATEGORIZED': 0, 'RECOMMENDED_FOR_BUSINESS': 20, 'RECOMMENDED_FOR_FAMILY': 15, 'RECOMMENDED_FOR_DATE': 5, 'RECOMMENDED_FOR_MYSELF': 5, 'RECOMMENDED_FOR_FRIENDS': 3}","{'PENDING': [], 'SKIPPED': [], 'NOT_RECOMMENDED': [['Jerry Smith', 'PERSON', 3, '23456'], ['Paul Johnson', 'PERSON', 5, '98765']], 'RECOMMENDED_UNCATEGORIZED': [], 'RECOMMENDED_FOR_BUSINESS': [['Tom Ford', 'PERSON', 6, '34567']], 'RECOMMENDED_FOR_FAMILY': [], 'RECOMMENDED_FOR_DATE': [], 'RECOMMENDED_FOR_MYSELF': [], 'RECOMMENDED_FOR_FRIENDS': []}",https://goo.gl/maps/ew3Ef43,London,UK,Payment,678,282,,,,,,
9375856263,Payment demand from Los Angeles County (Los Angeles County) to B. Johnson (Ben) with note Los Angeles County Tax Cycle 4 of 7 Due date 28 Feb 2024 Payment signifier 74381025 Tax year 2022.,SOFORT,US57BUNQ3027222485,Los Angeles County,US24WELLS0311299565,-249.37,USD,BILLING,249,2024-02-28T09:32:23.784591,Los Angeles County,,RENT_AND_UTILITIES,38.1074202,-122.5697031,,,COMPANY,,,,,"{'PENDING': 0, 'SKIPPED': 0, 'NOT_RECOMMENDED': 0, 'RECOMMENDED_UNCATEGORIZED': 0, 'RECOMMENDED_FOR_BUSINESS': 0, 'RECOMMENDED_FOR_FAMILY': 0, 'RECOMMENDED_FOR_DATE': 0, 'RECOMMENDED_FOR_MYSELF': 0, 'RECOMMENDED_FOR_FRIENDS': 0}","{'PENDING': [], 'SKIPPED': [], 'NOT_RECOMMENDED': [], 'RECOMMENDED_UNCATEGORIZED': [], 'RECOMMENDED_FOR_BUSINESS': [], 'RECOMMENDED_FOR_FAMILY': [], 'RECOMMENDED_FOR_DATE': [], 'RECOMMENDED_FOR_MYSELF': [], 'RECOMMENDED_FOR_FRIENDS': []}",,,,WhitelistResult,,771,,,,,,
2345098761,Payment reference: 8496.5283.3098.7705,IDEAL,FR47BMUG2076967586,Healthcare Agency,DE11INGV0009574682,-6542.0,EUR,PAYMENT,6328942,2024-02-30T12:12:32.176834,,,HEALTHCARE,51.517463,-0.12759199999999998,,,PERSON,,,,,"{'PENDING': 0, 'SKIPPED': 0, 'NOT_RECOMMENDED': 0, 'RECOMMENDED_UNCATEGORIZED': 0, 'RECOMMENDED_FOR_BUSINESS': 0, 'RECOMMENDED_FOR_FAMILY': 0, 'RECOMMENDED_FOR_DATE': 0, 'RECOMMENDED_FOR_MYSELF': 0, 'RECOMMENDED_FOR_FRIENDS': 0}","{'PENDING': [], 'SKIPPED': [], 'NOT_RECOMMENDED': [], 'RECOMMENDED_UNCATEGORIZED': [], 'RECOMMENDED_FOR_BUSINESS': [], 'RECOMMENDED_FOR_FAMILY': [], 'RECOMMENDED_FOR_DATE': [], 'RECOMMENDED_FOR_MYSELF': [], 'RECOMMENDED_FOR_FRIENDS': []}",,,,Payment,1503507185,388,,,,,,
739481354,"BUNQ: Albert Heijn 2335 THE HAGUE, NL
 in Stalpertstraat, 23, The Hague, NL, 2597 RJ.",BUNQ,NL25BUNQ2088625015,Albert Heijn,,-58.32,EUR,WITHDRAWAL,5264315,2023-04-16T12:37:25.984634,Albert Heijn,"Stalpertstraat, 23, The Hague, NL, 2597 RJ.",FOOD_AND_DRINK,52.0913372,4.3135774,0,0,PERSON,,"supermarket, store","{'monday': [{'open': 800, 'close': 2100}], 'tuesday': [{'open': 800, 'close': 2100}], 'wednesday': [{'open': 800, 'close': 2100}], 'thursday': [{'open': 800, 'close': 2100}], 'friday': [{'open': 800, 'close': 2100}], 'saturday': [{'open': 800, 'close': 2100}], 'sunday': [{'open': 1200, 'close': 2000}]}",3.0,"{'PENDING': 0, 'SKIPPED': 2, 'NOT_RECOMMENDED': 1, 'RECOMMENDED_UNCATEGORIZED': 0, 'RECOMMENDED_FOR_BUSINESS': 0, 'RECOMMENDED_FOR_FAMILY': 2, 'RECOMMENDED_FOR_DATE': 0, 'RECOMMENDED_FOR_MYSELF': 1, 'RECOMMENDED_FOR_FRIENDS': 2}","{'PENDING': [], 'SKIPPED': [{'name': 'John Doe', 'user_type': 'PERSON', 'number_of_recommendations': 2, 'uuid': '1a2b3c4d'}], 'NOT_RECOMMENDED': [{'name': 'Jane Smith', 'user_type': 'PERSON', 'number_of_recommendations': 1, 'uuid': '4b3a2c1d'}], 'RECOMMENDED_UNCATEGORIZED': [], 'RECOMMENDED_FOR_BUSINESS': [], 'RECOMMENDED_FOR_FAMILY': [{'name': 'Robert Johnson', 'user_type': 'PERSON', 'number_of_recommendations': 2, 'uuid': '7c6b5a4d'}], 'RECOMMENDED_FOR_DATE': [], 'RECOMMENDED_FOR_MYSELF': [{'name': 'Emma Brown', 'user_type': 'PERSON', 'number_of_recommendations': 1, 'uuid': '9d8e7f6g'}], 'RECOMMENDED_FOR_FRIENDS': [{'name': 'Oliver Taylor', 'user_type': 'PERSON', 'number_of_recommendations': 2, 'uuid': '2b3a4c5d'}]}",https://maps.google.com/?cid=6591237896765423021,The Hague,NL,BunqAction,,102,,,,,,
2504768902,Bill reference 54907238,PAYMENT,FR12CAR3205702947,Baker International Logistics,GB74330700630198765012,-20359.75,GBP,BILLING,4992849,2024-05-18T11:15:45.293810,,,BUSINESS_EXPENSES,48.8769241,2.3081234,,,COMPANY,,,,,"{'PENDING': 0, 'SKIPPED': 0, 'NOT_RECOMMENDED': 0, 'RECOMMENDED_UNCATEGORIZED': 0, 'RECOMMENDED_FOR_BUSINESS': 0, 'RECOMMENDED_FOR_FAMILY': 0, 'RECOMMENDED_FOR_DATE': 0, 'RECOMMENDED_FOR_MYSELF': 0, 'RECOMMENDED_FOR_FRIENDS': 0}","{'PENDING': [], 'SKIPPED': [], 'NOT_RECOMMENDED': [], 'RECOMMENDED_UNCATEGORIZED': [], 'RECOMMENDED_FOR_BUSINESS': [], 'RECOMMENDED_FOR_FAMILY': [], 'RECOMMENDED_FOR_DATE': [], 'RECOMMENDED_FOR_MYSELF': [], 'RECOMMENDED_FOR_FRIENDS': []}",,,,Payment,1543670182,558,,,,,,
8392847283,3928302938429301,MASTERCARD,DE07BUNQ3085947215,Amazon,DE56INGB0012345678,-200.0,EUR,CARD PAYMENT,4895923,2024-08-18T11:45:29.562176,Amazon Office,"Krausenstrasse 9-10, Berlin",SHOPPING,52.52,13.405,35.0,1000.0,COMPANY,5411,"shopping, online, ecommerce, electronics",,36.0,"{'PENDING': 5, 'SKIPPED': 3, 'NOT_RECOMMENDED': 1, 'RECOMMENDED_UNCATEGORIZED': 12, 'RECOMMENDED_FOR_BUSINESS': 9, 'RECOMMENDED_FOR_FAMILY': 2, 'RECOMMENDED_FOR_DATE': 2, 'RECOMMENDED_FOR_MYSELF': 1, 'RECOMMENDED_FOR_FRIENDS': 1}","{'PENDING': [['Mark', 'COMPANY', 3, 'UUID-1'], ['Emily', 'PERSON', 2, 'UUID-2']], 'SKIPPED': [['Jenny', 'COMPANY', 3, 'UUID-3']], 'NOT_RECOMMENDED': [['Kate', 'PERSON', 1, 'UUID-4']], 'RECOMMENDED_UNCATEGORIZED': [['Sophie', 'PERSON', 5, 'UUID-5'], ['John', 'COMPANY', 7, 'UUID-6']], 'RECOMMENDED_FOR_BUSINESS': [['Dan', 'COMPANY', 5, 'UUID-7'], ['Sarah', 'PERSON', 4, 'UUID-8']], 'RECOMMENDED_FOR_FAMILY': [['Mike', 'PERSON', 1, 'UUID-9'], ['Lauren', 'PERSON', 1, 'UUID-10']], 'RECOMMENDED_FOR_DATE': [['Oliver', 'PERSON', 2, 'UUID-11']], 'RECOMMENDED_FOR_MYSELF': [['Emma', 'PERSON', 1, 'UUID-12']], 'RECOMMENDED_FOR_FRIENDS': [['Oscar', 'PERSON', 1, 'UUID-13']]}",https://goo.gl/maps/AmazonBerlin,Berlin,Germany,Payment,2394872948,388,,,,,,
319292019,"IDEAL Purchase: Amazon Services 8888024356, UK
11383.11 USD, 1 USD = 0.854234 GBP in UK.",PURCHASE,NL72BUNQ2032146728,,,4187.59,GBP,FULL,289,2022-08-01T04:24:03.342814,Amazon,UK.,ELECTRONICS,51.5147932,-0.1493401,,,COMPANY,,,,,"{'PENDING': 0, 'SKIPPED': 0, 'NOT_RECOMMENDED': 0, 'RECOMMENDED_UNCATEGORIZED': 0, 'RECOMMENDED_FOR_BUSINESS': 0, 'RECOMMENDED_FOR_FAMILY': 0, 'RECOMMENDED_FOR_DATE': 0, 'RECOMMENDED_FOR_MYSELF': 0, 'RECOMMENDED_FOR_FRIENDS': 0}","{'PENDING': [], 'SKIPPED': [], 'NOT_RECOMMENDED': [], 'RECOMMENDED_UNCATEGORIZED': [], 'RECOMMENDED_FOR_BUSINESS': [], 'RECOMMENDED_FOR_FAMILY': [], 'RECOMMENDED_FOR_DATE': [], 'RECOMMENDED_FOR_MYSELF': [], 'RECOMMENDED_FOR_FRIENDS': []}",,,,iDealPurchase,,137,,,,,,
749382429,"PAYMENT: Blues Cafe MELBOURNE, AU
 in Whyte Ave, Melbourne, AU, 6785.",PAYMENT,AU34BUNQ7643225648,Blues Cafe,,-46.25,AUD,BILLING,257,2020-05-17T08:14:15.912315,Blues Cafe,"Whyte Ave, Melbourne, AU, 6785.",FOOD_AND_DRINK,-37.8136,144.9631,0,0,PERSON,5814,"cafe, bar, live_music",,,"{'PENDING': 0, 'SKIPPED': 0, 'NOT_RECOMMENDED': 0, 'RECOMMENDED_UNCATEGORIZED': 0, 'RECOMMENDED_FOR_BUSINESS': 0, 'RECOMMENDED_FOR_FAMILY': 0, 'RECOMMENDED_FOR_DATE': 0, 'RECOMMENDED_FOR_MYSELF': 0, 'RECOMMENDED_FOR_FRIENDS': 0}","{'PENDING': [], 'SKIPPED': [], 'NOT_RECOMMENDED': [], 'RECOMMENDED_UNCATEGORIZED': [], 'RECOMMENDED_FOR_BUSINESS': [], 'RECOMMENDED_FOR_FAMILY': [], 'RECOMMENDED_FOR_DATE': [], 'RECOMMENDED_FOR_MYSELF': [], 'RECOMMENDED_FOR_FRIENDS': []}",,,,PaymentAction,,137,,,,,,
